CVE-1999-0001,remote attackers,0
CVE-1999-0006,remote attackers,0
CVE-1999-0038,local users,1
CVE-1999-0039,remote attackers,0
CVE-1999-0040,local users,1
CVE-1999-0044,local users,1
CVE-1999-0052,a remote attacker,0
CVE-1999-0062,a local user,1
CVE-1999-0065,a remote attacker,0
CVE-1999-0081,files,5
CVE-1999-0084,users,2
CVE-1999-0085,remote attackers,0
CVE-1999-0089,local users,1
CVE-1999-0090,local users,1
CVE-1999-0091,local users,1
CVE-1999-0092,local users,1
CVE-1999-0098,a remote attacker,0
CVE-1999-0099,local or remote attackers,0
CVE-1999-0102,attackers,5
CVE-1999-0107,a remote attacker,0
CVE-1999-0123,local users,1
CVE-1999-0124,an intruder,5
CVE-1999-0127,local users,1
CVE-1999-0129,local users,1
CVE-1999-0134,local users,1
CVE-1999-0135,a local user,1
CVE-1999-0137,local users,1
CVE-1999-0139,local users,1
CVE-1999-0142,an applet,5
CVE-1999-0143,a user,2
CVE-1999-0146,an attacker,5
CVE-1999-0149,remote attackers,0
CVE-1999-0154,remote attackers,0
CVE-1999-0162,an attacker,5
CVE-1999-0164,an attacker,5
CVE-1999-0166,users,2
CVE-1999-0169,attackers,5
CVE-1999-0174,remote attackers,0
CVE-1999-0175,a remote attackers,0
CVE-1999-0177,a remote attacker,0
CVE-1999-0178,remote attackers,0
CVE-1999-0182,a remote attacker,0
CVE-1999-0192,remote attackers,0
CVE-1999-0194,attackers,5
CVE-1999-0195,attackers,5
CVE-1999-0196,a remote user,0
CVE-1999-0210,local or remote users,0
CVE-1999-0211,NFS directories,5
CVE-1999-0212,a remote attacker,0
CVE-1999-0213,an attacker,5
CVE-1999-0219,remote authenticated users,0
CVE-1999-0222,attackers,5
CVE-1999-0225,remote attackers,0
CVE-1999-0236,attackers,5
CVE-1999-0241,remote attackers,0
CVE-1999-0245,attackers,5
CVE-1999-0247,remote users,0
CVE-1999-0248,an attacker,5
CVE-1999-0251,remote attackers,0
CVE-1999-0253,remote intruders,0
CVE-1999-0254,remote attackers,0
CVE-1999-0262,remote attackers,0
CVE-1999-0270,remote attackers,0
CVE-1999-0288,remote attackers,0
CVE-1999-0290,remote attackers,0
CVE-1999-0297,local users,1
CVE-1999-0298,local and remote attackers,0
CVE-1999-0304,local attackers in the kmem group,1
CVE-1999-0307,local users,1
CVE-1999-0311,local users,1
CVE-1999-0318,local users,1
CVE-1999-0319,local users,1
CVE-1999-0320,attackers,5
CVE-1999-0321,local users,1
CVE-1999-0322,local attackers,1
CVE-1999-0324,local users,1
CVE-1999-0325,local users,1
CVE-1999-0330,local users,1
CVE-1999-0336,local users,1
CVE-1999-0339,local users,1
CVE-1999-0340,local users,1
CVE-1999-0341,local users,1
CVE-1999-0347,remote attackers,0
CVE-1999-0349,remote attackers,0
CVE-1999-0357,remote attackers,0
