CVE-1999-1464,Cisco IOS 11.1CC and 11.1CT with distributed fast switching (DFS) enabled remote attackersbypass certain access control lists when the router switches traffic from a DFS-enabled interface to an interface that does not have DFS enabledVulnerability,4
CVE-2017-11567,Mongoose Web Server before 6.9 remote attackershijack the authentication of users for requests that modify Mongoose.conf via a request to __mg_admin?save.  NOTE: this issue can be leveraged to execute arbitrary code remotely.Cross-site request forgery (CSRF) vulnerability,3
CVE-2016-9942,ultra.cremote serverscause a denial of service (application crash) or possibly execute arbitrary code via a crafted FramebufferUpdate message with the Ultra type tileHeap-based buffer overflow,3
CVE-2016-2550,The Linux kernel before 4.5 local usersbypass file-descriptor limits and cause a denial of service (memory consumption) by leveraging incorrect tracking of descriptor ownership and sending each descriptor over a UNIX socket before closing it. NOTE: this vulnerability exists because of an incorrect fix for CVE-2013-4312.,2
CVE-2007-6078,SkyPortal RC6 remote attackersexecute arbitrary SQL commands via unspecified parameters to (1) nc_top.asp; (2) inc_bookmarks.aspMultiple SQL injection vulnerabilities,0
CVE-2006-1666,forum.phpremote attackersexecute arbitrary SQL commands via the mineID parameter.SQL injection vulnerability,0
CVE-2011-1743,EMC Captiva eInput 2.1.1 before 2.1.1.37 remote attackersinject arbitrary web script or HTML via unspecified vectors.Cross-site scripting (XSS) vulnerability,0
CVE-2005-0104,webmail.phpremote attackersinject arbitrary web script or HTML via certain integer variables.Cross-site scripting (XSS) vulnerability,0
CVE-2011-2080,MediaCAST 8 and earlier remote attackersexecute arbitrary SQL commands via (1) a CP_ENLARGESTYLE cookie to the default URI under inventivex/managetraining/ or (2) unspecified input to authenticate_ad_setup_finished.cfm.Multiple SQL injection vulnerabilities,0
CVE-2008-0720,Webmin 1.370 and 1.390 and Usermin 1.300 and 1.320 remote attackersinject arbitrary web script or HTML via the search parameter to webmin_search.cgi (aka the search section)Cross-site scripting (XSS) vulnerability,0
CVE-2003-0503,the ShellExecute API function of SHELL32.DLLattackerscause a denial of service or execute arbitrary code via a long third argument.Buffer overflow,0
CVE-2015-7034,The Apple iWork application before 2.6 for iOS and Apple Pages before 5.6 remote attackersexecute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted Pages document.,2
CVE-2015-0977,Network Vision IntraVue before 2.3.0a14 on Windows remote attackersexecute arbitrary OS commands via unspecified vectors.,0
CVE-2008-3290,EMC Dantz Retrospect Backup Client 7.5.116 remote attackerscause a denial of service (daemon crash) via a series of long packets containing 0x00 characters to TCP port 497 that trigger memory corruptionretroclient.exe,3
CVE-2004-0656,PureFTPd 1.0.18 and earlier remote attackerscause a denial of service by exceeding the maximum number of connections.The accept_client function,3
CVE-2007-5303,news_page.phpremote attackersinject arbitrary web script or HTML via the page_id parameter.Cross-site scripting (XSS) vulnerability,0
CVE-2014-4820,IBM Integration Bus Manufacturing Pack 1.x before 1.0.0.1 remote attackersinject arbitrary web script or HTML via unspecified vectors.Cross-site scripting (XSS) vulnerability,0
CVE-2016-10051,the ReadPWPImage functionremote attackerscause a denial of service (application crash) or have other unspecified impact via a crafted file.Use-after-free vulnerability,2
CVE-2017-6190,"the web interface on the D-Link DWR-116 device with firmware before V1.05b09 remote attackersread arbitrary files via a .. (dot dot) in a """"GET /uir/"""" request.Directory traversal vulnerability",0
CVE-2008-6268,detail.phpremote attackersexecute arbitrary SQL commands via the id parameter.SQL injection vulnerability,0
CVE-2015-1489,Symantec Endpoint Protection Manager (SEPM) 12.1 before 12.1-RU6-MP1 remote authenticated usersgain privileges via unspecified vectors.The management console,3
CVE-2004-1387,apache-utils package 1.3.31 local usersoverwrite or create arbitrary files via a symlink attack on temporary files.The check_forensic script,2
CVE-2007-5150,the is_god functionremote attackersexecute arbitrary SQL commands via base64-encoded data in an admin cookieSQL injection vulnerability,0
CVE-2008-3082,UPM/English/login/login.aspremote attackersinject arbitrary web script or HTML via the PARAMS parameter.Cross-site scripting (XSS) vulnerability,0
CVE-2008-2316,_hashopenssl.ccontext-dependent attackersdefeat cryptographic digestsInteger overflow,1
CVE-2009-2308,affiliates.phpremote attackersexecute arbitrary SQL commands via the (1) in or (2) out parameter.Multiple SQL injection vulnerabilities,0
CVE-2005-0782,(1) viewall.php and (2) category.php for paFileDB 3.1 and earlier remote attackersinject arbitrary web script or HTML via the start parameter to pafiledb.php.Cross-site scripting (XSS) vulnerability,0
CVE-2008-6227,buyer_detail.phpremote attackersexecute arbitrary SQL commands via the (1) sid and (2) cid parameters.SQL injection vulnerability,0
CVE-2014-2777,Microsoft Internet Explorer 8 through 11 remote attackersexecute arbitrary web script with increased privileges via unspecified vectors,3
CVE-2014-2598,the Quick Page/Post Redirect plugin before 5.0.5 for WordPress remote attackershijack the authentication of administrators for requests that conduct cross-site scripting (XSS) attacks via the quickppr_redirects[request][] parameter in the redirect-updates page to wp-admin/admin.php.Cross-site request forgery (CSRF) vulnerability,0
CVE-2014-3934,the Submit_News module for PHP-Nuke 8.3 remote attackersexecute arbitrary SQL commands via the topics[] parameter to modules.php.SQL injection vulnerability,0
CVE-2000-0996,OpenBSD su program (and possibly other BSD-based operating systems) local attackersgain root privileges via a malformed shell.Format string vulnerability,2
CVE-2006-0333,ar-blog 5.2 remote attackersinject arbitrary web script or HTML via the (1) month or (2) year parameter to index.php.Cross-site scripting (XSS) vulnerability,0
CVE-2012-5905,KnFTPd 1.0.0 remote authenticated userscause a denial of service (crash) via a long string in a FEAT command.Buffer overflow,2
CVE-2000-1150,BeOS r5 pro and earlier remote attackersconduct a denial of service via a message that contains a long URL.Felix IRC client,0
CVE-2006-4757,the admin sectionremote authenticated administrative usersexecute arbitrary SQL commands via the (1) linkopentypeMultiple SQL injection vulnerabilities,0
CVE-2015-0604,The web framework on Cisco Unified IP 9900 phones with firmware 9.4(.1) and earlier remote attackersupload files to arbitrary locations on a phone's filesystem via crafted HTTP requests,0
CVE-2015-0026,Microsoft Internet Explorer 6 through 11 remote attackersexecute arbitrary code or cause a denial of service (memory corruption) via a crafted web site,2
CVE-2008-0524,the management interfaceremote attackerschange password settings and probably other configuration settings as administrators via unspecified vectors.Cross-site request forgery (CSRF) vulnerability,3
CVE-2008-6273,configuration_script.phpremote authenticated administratorsinclude and execute arbitrary local files via a .. (dot dot) in the langage parameterDirectory traversal vulnerability,0
CVE-2013-3043,the clientlocal usersread arbitrary files via vectors involving temporary files.Directory traversal vulnerability,0
CVE-2014-9472,RT (aka Request Tracker) 3.0.0 through 4.x before 4.0.23 and 4.2.x before 4.2.10 remote attackerscause a denial of service (CPU and disk consumption) via a crafted email.The email gateway,3
CVE-2013-7176,the postfix filterremote attackerstrigger the blocking of an arbitrary IP address via a crafted e-mail address that matches an improperly designed regular expression.config/filter.d/postfix.conf,2
CVE-2008-2696,Exiv2 0.16 user-assisted remote attackerscause a denial of service (divide-by-zero and application crash) via a zero value in Nikon lens information in the metadata of an image,3
CVE-2007-3842,the 8e6 R3000 Enterprise Filter before 2.0.05 remote attackersinject arbitrary web script or HTML via unspecified vectors.  NOTE: this may be the same as CVE-2007-2970.Cross-site scripting (XSS) vulnerability,0
CVE-2014-4442,Apple OS X before 10.10 local userscause a denial of service (panic) via a message to a system control socket.The kernel,0
CVE-2007-5821,DM Guestbook 0.4.1 and earlier remote attackersinclude and execute arbitrary local files via a .. (dot dot) in (1) the lng parameter to (a) guestbook.phpMultiple directory traversal vulnerabilities,0
CVE-2008-6011,index.phpremote attackersexecute arbitrary SQL commands via the page_id parameter.SQL injection vulnerability,0
CVE-2015-2676,the ASUS RT-G32 routers with firmware 2.0.2.6 and 2.0.3.2 remote attackershijack the authentication of administrators for requests that change the administrator password via a request to start_apply.htm.Cross-site request forgery (CSRF) vulnerability,0
CVE-2013-1627,NTWebServer.exeremote attackersread arbitrary files via a full pathname in an argument to the sub_401A90 CreateFileW function.Absolute path traversal vulnerability,0
CVE-2009-0766,default.phpremote attackersinclude and execute arbitrary local files via directory traversal sequences in the configfile parameter.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.Directory traversal vulnerability,0
CVE-2017-15399,Aa remote attackerpotentially exploit heap corruption via a crafted HTML page.A use after free,2
CVE-2010-1115,news/include/customize.phpremote attackersread arbitrary files via a .. (dot dot) in the l parameter.Directory traversal vulnerability,0
CVE-2005-0882,admincore.phpremote attackersexecute arbitrary SQL commands via the (1) userid or (2) userpw parameters.SQL injection vulnerability,0
CVE-2014-9219,the redirection featureremote attackersinject arbitrary web script or HTML via the url parameter.Cross-site scripting (XSS) vulnerability,0
CVE-2019-7251,An Integer Signedness issue (for aremote authenticated userscrash Asterisk via a specially crafted SDP protocol violation.An Integer Signedness issue (for a return code),2
CVE-2012-1465,the HTTP Serverremote attackerscause a denial of service (application crash) via a long URL in an HTTP request.  NOTE: some of these details are obtained from third party information.Stack-based buffer overflow,0
CVE-2015-0559,epan/dissectors/packet-wccp.cremote attackerscause a denial of service (application crash) via a crafted packetMultiple use-after-free vulnerabilities,2
CVE-2007-5902,the svcauth_gss_get_principal functionremote attackershave an unknown impact via a large length value for a GSS client name in an RPC request.Integer overflow,2
CVE-2010-2513,the JE Ajax Event Calendar (com_jeajaxeventcalendar) component 1.0.5 for Joomla! remote attackersexecute arbitrary SQL commands via the view parameter to index.php.SQL injection vulnerability,0
CVE-2008-0930,XWine 1.0.1 for Debian GNU/Linux local usersoverwrite or print arbitrary files via a symlink attack on the temporaire temporary file.  NOTE: some of these details are obtained from third party information.w_editeur.c,3
CVE-2013-2709,the FourSquare Checkins plugin before 1.3 for WordPress remote attackershijack the authentication of arbitrary users for requests that insert XSS sequences.Cross-site request forgery (CSRF) vulnerability,0
CVE-2007-4482,index.phpremote attackersinject arbitrary web script or HTML via the PATH_INFO (PHP_SELF).Cross-site scripting (XSS) vulnerability,0
CVE-2014-8004,Cisco IOS XR remote attackerscause a denial of service (LISP process reload) by establishing many LISP TCP sessions,2
CVE-2016-8581,the User-Agent header of the login process of AlienVault OSSIM and USM before 5.3.2 that an attackersteal session IDs of logged in users when the current sessions are viewed by an administrator.A persistent XSS vulnerability exists,0
CVE-2010-5034,viewhistorydetail.phpremote attackersexecute arbitrary SQL commands via the planid parameter.SQL injection vulnerability,0
CVE-2016-6371,the web interfaceremote attackerswrite to arbitrary files via a crafted URLDirectory traversal vulnerability,0
CVE-2014-5193,admin/admin.phpremote attackersinject arbitrary web script or HTML via the category parameter.  NOTE: the url parameter vector is already covered by CVE-2014-5082.Cross-site scripting (XSS) vulnerability,0
CVE-2008-6686,CoolURI (cooluri) 1.0.11 and earlier extension for TYPO3 remote attackersexecute arbitrary SQL commands via unknown vectors.SQL injection vulnerability,0
CVE-2019-0973, the Windows Installer when the Windows Installerleading to an insecure library loading behavior.A locally authenticated attacker could run arbitrary code with elevated system privilegesAn elevation of privilege vulnerability exists,0
CVE-2001-0336,The Microsoft MS00-060 patch for IIS 5.0 and earlier introduces an error which attackerscause a denial of service via a malformed request.,0
CVE-2005-2479,Quick 'n Easy FTP Server 3.0 remote attackerscause a denial of service (application crash or CPU consumption) via a long USER command.,2
CVE-2010-2653,the hvc_close functionlocal userscause a denial of service or possibly have unspecified other impact by closing a Hypervisor Virtual Console deviceRace condition,0
CVE-2019-3886,libvirt 4.8.0 and above. The readonly permission was to invoke APIs depending on the guest agent which could leadpotentially disclosing unintended information or denial of service by causing libvirt to block.An incorrect permissions check was discovered,3
