CVE-1999-0470, Novell Remote.NLM,,,,,A weak encryption algorithm is used for passwords
CVE-1999-0476, SCO TermVision,,,,,A weak encryption algorithm is used for passwords
CVE-1999-0520,appropriate access control.,,,,,A system-critical NETBIOS/SMB share has
CVE-1999-0528,side the network that the router/firewall is in front of.,,,,,A router or firewall forwards external packets that claim to come from
CVE-1999-0533,verse queries.,,,,,A DNS server allows
CVE-1999-0534,appropriate rights or privileges,A Windows NT user ,,,,A Windows NT user has
CVE-1999-0535,appropriate,,,,,A Windows NT account policy for passwords has
CVE-1999-0537, a web browser such as Internet Explorer or Netscape Navigator allows execution of active content such as ActiveX,,,,,A configuration
CVE-1999-0559,appropriate permissions.,,,,,A system-critical Unix file or directory has
CVE-1999-0560,appropriate permissions.,,,,,A system-critical Windows NT file or directory has
CVE-1999-0571,terface (such as a web server or telnet) is configured to allow connections from arbitrary hosts.,,,,,A router's configuration service or management
CVE-1999-0582,appropriate,,,,,A Windows NT account policy has
CVE-1999-0587, a restricted file system,,,,,A WWW server is not running
CVE-1999-0588, a router or firewall allows unusual fragmented packets.,,,,,A filter
CVE-1999-0589,appropriate permissions.,,,,,A system-critical Windows NT registry key has
CVE-1999-0591, Windows NT has inappropriate access permissions.,,,,,An event log
CVE-1999-0596,appropriate maximum size or retention period.,,,,,A Windows NT log file has an
CVE-1999-0598,trusion detection system (IDS),,,, does not properly handle packets that are sent out of order,A network
CVE-1999-0599,trusion detection system (IDS),,,, does not properly handle packets with improper sequence numbers.,A network
CVE-1999-0600,trusion detection system (IDS),,,, does not verify the checksum on a packet.,A network
CVE-1999-0601,trusion detection system (IDS),,,, does not properly handle data within TCP handshake packets.,A network
CVE-1999-0602,trusion detection system (IDS),,,, does not properly reassemble fragmented packets.,A network
CVE-1999-0604,formation.,,,,,"An incorrect configuration of the WebStore 1.0 shopping cart CGI program """"web_store.cgi"""" could disclose private"
CVE-1999-0605,formation.,,,,,An incorrect configuration of the Order Form 1.0 shopping cart  CGI program could disclose private
CVE-1999-0606,formation.,,,,,"An incorrect configuration of the EZMall 2000 shopping cart  CGI program """"mall2000.cgi"""" could disclose private"
